vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_7d_ma,sp500_30d_ma,sp500_volatility,prev_day_price
18.75,360.649994,18.73847972258545,2870.49,17.48,3048.0,-0.0649829,8.02,3,118.5379459,145.3791351,354.579987,357.714286,344.27633263333337,2.289619668997921,354.579987
17.44,360.859985,19.111525280461162,2878.56,25.18,3083.0,-0.064243,8.03,3,118.5379459,93.31176758,360.649994,358.6028531428572,344.81566569999995,2.0964878733084182,360.649994
17.37,361.230011,18.92562913658085,2876.66,17.81,3132.0,-0.0639034,8.01,3,118.5379459,110.6568985,360.859985,359.06428328571434,345.4993327,2.2883644259204745,360.859985
17.09,363.160004,19.051207567853755,2900.97,22.29,3159.0,-0.0639641,7.94,3,120.5267355,84.83875275,361.230011,359.73999914285713,346.3349996333334,2.726295748221624,361.230011
18.39,367.399994,18.98326356018855,2935.19,22.27,3153.0,-0.0658442,7.96,3,120.5267355,129.1953125,363.160004,360.8985684285714,347.41099959999997,3.951227269149224,363.160004
18.97,366.640015,19.11242694860369,2925.0,24.44,3159.0,-0.0681155,7.96,3,120.5267355,99.23526001,367.399994,362.07428428571427,348.5973338333333,4.296670861940061,367.399994
17.42,364.959991,18.915559901985116,2911.65,21.05,3172.0,-0.0713452,7.96,3,120.5267355,97.42845917,366.640015,363.557142,349.7506673666667,2.8148127647489445,366.640015
16.88,363.149994,18.89293185197455,2897.33,20.26,3145.0,-0.0755344,7.96,3,120.5267355,80.4376297,364.959991,363.91428485714283,350.78800053333333,2.5285182835244435,364.959991
17.58,358.709991,18.775554072957092,2862.38,17.64,3174.0,-0.0806847,7.96,3,120.5267355,100.0171432,363.149994,363.60714285714283,351.6476664666667,3.0401754811662993,363.149994
16.34,361.630005,18.59924526023331,2892.57,15.1,3154.0,-0.101532,7.99,3,120.5267355,38.26398087,358.709991,363.6642848571429,352.73166713333336,2.99141726501181,358.709991
16.6,366.25,18.872393109591222,2933.42,22.28,3203.0,-0.109765,7.99,3,120.5267355,64.659729,361.630005,364.10571285714286,353.91333420000007,3.1294055980674775,361.630005
17.38,364.899994,18.88384856848169,2929.7,22.68,3184.0,-0.11858,7.93,3,120.5267355,74.64940643,366.25,363.74857000000003,355.00166733333333,2.8179429118346113,366.25
17.4,362.899994,18.72647284294186,2928.22,15.18,3191.0,-0.127981,7.92,3,120.5267355,72.1692276,364.899994,363.21428128571426,355.9490001,2.5168164267056787,364.899994
15.9,362.910004,19.139154487333276,2935.89,37.82,3201.0,-0.13797,7.95,3,120.5267355,73.79483032,362.899994,362.921426,356.86033333333336,2.3962095861960795,362.899994
17.71,356.880005,18.709387298942655,2882.18,16.23,3201.0,-0.171385,7.93,3,120.5267355,78.603302,362.910004,362.0257132857143,357.4766663333333,3.298518298386756,362.910004
15.23,358.470001,18.72026669081822,2893.56,16.49,3229.0,-0.183517,8.0,3,120.5267355,65.84614563,356.880005,361.991429,358.07466639999996,3.3397151945892496,356.880005
15.27,359.100006,18.738552494844164,2895.3,15.35,3234.0,-0.196133,8.03,3,120.5267355,89.65638733,358.470001,361.6300005714285,358.6443329333333,3.517515022003395,358.470001
14.72,360.470001,18.74688617829147,2901.73,16.54,3246.0,-0.209237,8.03,3,120.5267355,66.54711914,359.100006,360.8042864285714,359.2313334666667,2.8712961343218844,359.100006
19.36,355.429993,18.966313515018513,2857.18,32.38,3250.0,-0.222836,8.04,3,120.5267355,86.6545639,360.470001,359.4514291428572,359.618333,2.850809780950753,360.470001
17.06,352.309998,18.706611290878488,2845.05,17.43,3276.0,-0.266702,8.05,3,120.5267355,53.04823685,355.429993,357.9385725714286,359.6286662666667,3.4604670348868707,355.429993
16.29,352.059998,18.767244751211503,2842.33,17.27,3292.0,-0.282439,8.07,3,120.5267355,49.07507706,352.309998,356.3885717142857,359.53899953333337,3.288210824042053,352.309998
16.0,355.140015,18.803354770580068,2862.13,26.41,3284.0,-0.298753,8.05,3,120.5267355,101.0769653,352.059998,356.1400017142857,359.56766673333334,3.3105603861044335,352.059998
16.18,357.630005,18.729047414943437,2878.71,15.79,3273.0,-0.31565,8.0,3,120.5267355,64.67051697,355.140015,356.0200022857143,359.6886669,3.2261761292142577,355.140015
15.5,358.019989,18.79575537760884,2880.69,16.15,3278.0,-0.333137,8.0,3,120.5267355,97.19025421,357.630005,355.86571414285714,359.80699983333335,3.076690989260823,357.630005
16.26,359.540009,18.684582295419233,2899.26,12.3,3319.0,-0.387844,8.0,3,111.5696211,100.8903809,358.019989,355.7328581428571,359.97033296666666,2.856967940480723,358.019989
16.11,360.160004,18.683429557548283,2911.63,13.91,3356.0,-0.405035,7.96,3,111.5696211,127.2182541,359.540009,356.40857400000004,360.0423331,3.298619524035989,359.540009
17.25,355.679993,18.670037709875494,2879.21,16.32,3356.0,-0.43721,7.92,3,111.5696211,85.45936584,360.160004,356.8900018571429,359.9506664333333,2.810558668084284,360.160004
16.41,358.420013,18.53159581347367,2904.95,15.22,3357.0,-0.452207,8.01,3,111.5696211,89.528862,355.679993,357.79857542857144,359.92166656666666,1.8542247011813546,355.679993
16.66,359.519989,18.597906011697482,2914.11,13.88,3385.0,-0.4926,8.06,3,111.5696211,55.95553207,358.420013,358.424286,359.95866606666664,1.5156747975724505,358.420013
16.92,356.48999,18.810219708283963,2890.84,15.55,3408.0,-0.504143,8.07,3,111.5696211,91.21562958,359.519989,358.26142671428573,360.0223328333333,1.668760879216923,359.519989
16.68,361.230011,18.90446400277094,2932.67,18.21,3440.0,-0.514683,8.05,3,111.5696211,61.60712814,356.48999,358.7200012857143,360.04166673333333,1.9996142653277544,356.48999
17.06,365.440002,19.177647441916136,2969.8,26.48,3468.0,-0.524223,7.94,3,111.5696211,51.30082703,361.230011,359.5628574285714,360.1943339666667,3.253303317815665,361.230011
17.09,367.309998,19.188935401637334,2980.2,29.07,3507.0,-0.532767,7.85,3,111.5696211,75.86032867,365.440002,360.5842851428571,360.39700020000004,4.39435804646884,365.440002
16.75,368.950012,18.822338620409674,2999.75,19.86,3488.0,-0.552549,7.86,3,111.5696211,66.65126038,367.309998,362.4800021428572,360.59000046666665,4.772130894764638,367.309998
16.66,367.519989,18.990473151138634,2999.75,21.21,3463.0,-0.557321,7.87,3,111.5696211,39.67147064,368.950012,363.7799987142857,360.5940003,4.7210065618216195,368.950012
18.9,364.220001,18.943988151145987,2981.68,17.95,3528.0,-0.561202,7.8,3,111.5696211,85.66985321,367.519989,364.451429,360.51333316666665,4.332389767518274,367.519989
18.56,365.320007,18.903045169069543,2993.81,21.19,3523.0,-0.564192,7.79,3,111.5696211,82.25337219,364.220001,365.71286,360.52533370000003,2.5445715488473164,364.220001
15.63,361.609985,18.99622612805611,2961.14,28.09,3540.0,-0.566293,7.79,3,111.5696211,90.64240265,365.320007,365.767142,360.4740000666667,2.4346830239744217,365.320007
23.68,355.309998,19.157988345081968,2904.7,32.55,3559.0,-0.567444,7.73,3,111.5696211,107.7718887,361.609985,364.3199985714286,360.3606669666667,4.657455669864324,361.609985
21.79,355.790009,19.01907759346342,2922.52,23.01,3495.0,-0.56635,7.78,3,111.5696211,133.8912048,355.309998,362.6742858571429,360.16600043333335,5.400823903822424,355.309998
20.19,357.089996,18.912507023823657,2930.94,19.2,3520.0,-0.564546,7.81,3,111.5696211,122.6876907,355.790009,360.97999785714285,359.86066696666666,4.94500867610356,355.790009
20.26,355.910004,18.859193712556678,2920.79,18.36,3483.0,-0.562031,7.83,3,111.5696211,85.66985321,357.089996,359.32142857142856,359.5610006333334,4.289445455119034,357.089996
21.12,353.440002,18.819926558954872,2898.51,19.19,3485.0,-0.558805,7.77,3,111.5696211,79.76438141,355.910004,357.7814287142857,359.24566756666667,4.171131413893043,355.910004
21.16,355.549988,18.802331194121827,2917.33,18.73,3445.0,-0.544794,7.74,3,111.5696211,63.26084137,353.440002,356.3857117142857,359.0003337,2.5463374715689677,353.440002
21.11,356.149994,18.98246561201739,2905.2,22.13,3438.0,-0.538611,7.74,3,111.5696211,130.7592468,355.549988,355.605713,358.976,1.1110620018466935,355.549988
21.64,355.519989,18.99875372227663,2899.26,23.77,3468.0,-0.531658,7.67,3,142.165239,137.2349396,356.149994,355.6357117142857,358.8776662666667,1.104562840722138,356.149994
20.43,351.480011,19.3492557186109,2864.6,45.37,3415.0,-0.525786,7.68,3,142.165239,108.8637238,355.519989,355.0199977142857,358.62366643333337,1.9110498458695775,355.519989
28.74,344.859985,19.50546452806369,2809.65,45.36,3356.0,-0.520991,7.52,3,142.165239,250.3923492,351.480011,353.27285328571423,358.10333256666667,4.071978203771847,351.480011
